year,month,day,trait,descriptor
1970,1,1,adventurous,scholar
1970,1,2,analytical,monk
1970,1,3,intelligent,scholar
1970,1,4,organized,scholar
1970,1,5,charismatic,philosopher
1970,1,6,analytical,delegate
1970,1,7,friendly,commander
1970,1,8,resilient,explorer
1970,1,9,intelligent,delegate
1970,1,10,creative,commander
1970,1,11,friendly,philosopher
1970,1,12,charismatic,commander
1970,1,13,empathetic,pioneer
1970,1,14,resilient,warrior
1970,1,15,organized,explorer
1970,1,16,outgoing,philosopher
1970,1,17,intelligent,artist
1970,1,18,intelligent,delegate
1970,1,19,friendly,warrior
1970,1,20,intelligent,pioneer
1970,1,21,empathetic,delegate
1970,1,22,friendly,pioneer
1970,1,23,resilient,delegate
1970,1,24,resilient,philosopher
1970,1,25,outgoing,king
1970,1,26,friendly,commander
1970,1,27,outgoing,warrior
1970,1,28,intelligent,delegate
1970,1,29,empathetic,scholar
1970,1,30,organized,monk
1970,1,31,creative,king
1970,2,1,charismatic,monk
1970,2,2,resilient,philosopher
1970,2,3,creative,philosopher
1970,2,4,intelligent,explorer
1970,2,5,empathetic,delegate
1970,2,6,friendly,philosopher
1970,2,7,analytical,pioneer
1970,2,8,outgoing,commander
1970,2,9,charismatic,monk
1970,2,10,empathetic,delegate
1970,2,11,organized,commander
1970,2,12,empathetic,artist
1970,2,13,empathetic,delegate
1970,2,14,outgoing,pioneer
1970,2,15,empathetic,delegate
1970,2,16,charismatic,artist
1970,2,17,creative,delegate
1970,2,18,empathetic,explorer
1970,2,19,charismatic,monk
1970,2,20,creative,king
1970,2,21,organized,warrior
1970,2,22,adventurous,scholar
1970,2,23,creative,artist
1970,2,24,resilient,pioneer
1970,2,25,friendly,delegate
1970,2,26,intelligent,philosopher
1970,2,27,organized,king
1970,2,28,empathetic,king
1970,3,1,adventurous,philosopher
1970,3,2,charismatic,king
1970,3,3,organized,delegate
1970,3,4,empathetic,artist
1970,3,5,analytical,explorer
1970,3,6,intelligent,king
1970,3,7,charismatic,explorer
1970,3,8,charismatic,pioneer
1970,3,9,organized,philosopher
1970,3,10,outgoing,explorer
1970,3,11,adventurous,explorer
1970,3,12,organized,pioneer
1970,3,13,organized,warrior
1970,3,14,intelligent,commander
1970,3,15,intelligent,artist
1970,3,16,charismatic,scholar
1970,3,17,organized,scholar
1970,3,18,analytical,scholar
1970,3,19,organized,monk
1970,3,20,adventurous,delegate
1970,3,21,organized,king
1970,3,22,resilient,philosopher
1970,3,23,analytical,warrior
1970,3,24,analytical,warrior
1970,3,25,analytical,scholar
1970,3,26,creative,warrior
1970,3,27,adventurous,artist
1970,3,28,outgoing,delegate
1970,3,29,analytical,pioneer
1970,3,30,organized,delegate
1970,3,31,empathetic,commander
1970,4,1,organized,warrior
1970,4,2,friendly,scholar
1970,4,3,organized,artist
1970,4,4,creative,delegate
1970,4,5,friendly,explorer
1970,4,6,creative,monk
1970,4,7,organized,warrior
1970,4,8,charismatic,pioneer
1970,4,9,analytical,philosopher
1970,4,10,organized,commander
1970,4,11,intelligent,monk
1970,4,12,friendly,artist
1970,4,13,charismatic,artist
1970,4,14,intelligent,warrior
1970,4,15,empathetic,philosopher
1970,4,16,analytical,warrior
1970,4,17,analytical,delegate
1970,4,18,charismatic,warrior
1970,4,19,charismatic,explorer
1970,4,20,friendly,delegate
1970,4,21,analytical,delegate
1970,4,22,resilient,monk
1970,4,23,empathetic,scholar
1970,4,24,charismatic,king
1970,4,25,friendly,warrior
1970,4,26,creative,pioneer
1970,4,27,friendly,scholar
1970,4,28,charismatic,scholar
1970,4,29,empathetic,scholar
1970,4,30,charismatic,pioneer
1970,5,1,resilient,king
1970,5,2,charismatic,scholar
1970,5,3,charismatic,pioneer
1970,5,4,creative,pioneer
1970,5,5,organized,artist
1970,5,6,resilient,philosopher
1970,5,7,charismatic,delegate
1970,5,8,creative,philosopher
1970,5,9,intelligent,delegate
1970,5,10,adventurous,warrior
